metric,column,n_windows,median,q1,q3,iqr,formatted,unit
Flows per minute,flows_per_min,32,48.033333330000005,27.366666667500002,66.8666666675,39.5,48.033 [27.367-66.867],flows/min
Packets per minute,packets_per_min,32,1106.5666664999999,632.6999999750001,1640.5166665000002,1007.8166665250001,1106.567 [632.700-1640.517],packets/min
Packets per flow,packets_per_flow_median,32,6.0,4.0,6.0,2.0,6.000 [4.000-6.000],packets
Bytes per flow,bytes_per_flow_median,32,602.5,573.5,704.0,130.5,602.500 [573.500-704.000],bytes
Flow duration,flow_duration_median_s,32,0.100952625265,0.06983509659499999,0.149364352225,0.07952925563,0.101 [0.070-0.149],s
TCP flow share,tcp_share_pct,32,45.33500795,40.341130405,48.2099026675,7.868772262500002,45.335 [40.341-48.210],%
UDP flow share,udp_share_pct,32,54.66499205,51.7900973325,59.658869595,7.868772262500002,54.665 [51.790-59.659],%
DNS flow share,dns_share_pct,32,54.176308405,51.02306577,59.441444704999995,8.418378934999993,54.176 [51.023-59.441],%
Port-443 flow share,https_share_pct,32,25.112309075,14.4103568125,30.9809043425,16.57054753,25.112 [14.410-30.981],%
Packet size,packet_size_median_bytes,32,85.0,76.0,100.0,24.0,85.000 [76.000-100.000],bytes
Packet-size p95,packet_size_p95_bytes,32,2584.0,1514.0,2974.0,1460.0,2584.000 [1514.000-2974.000],bytes
Inter-arrival time,iat_median_ms,32,0.13840198515000002,0.116527080575,0.1599788666,0.043451786024999994,0.138 [0.117-0.160],ms
Inter-arrival-time p95,iat_p95_ms,32,50.574171545,33.8221132775,70.35576105,36.5336477725,50.574 [33.822-70.356],ms
Destination entropy,destination_entropy_bits,32,3.583051887,3.094202404,3.9437278605,0.8495254565000003,3.583 [3.094-3.944],bits
Remote-port entropy,port_entropy_bits,32,1.553381151,1.41686694025,1.6520523575,0.23518541724999986,1.553 [1.417-1.652],bits
