metric,column,n_windows,median,q1,q3,iqr,formatted,unit
Flows per minute,flows_per_min,10,96.133333335,77.58333333,117.866666675,40.283333345,96.133 [77.583-117.867],flows/min
Packets per minute,packets_per_min,10,3782.9666665,3572.5333330000003,4751.34999975,1178.81666675,3782.967 [3572.533-4751.350],packets/min
Packets per flow,packets_per_flow_median,10,11.0,11.0,11.0,0.0,11.000 [11.000-11.000],packets
Bytes per flow,bytes_per_flow_median,10,798.5,794.0,808.75,14.75,798.500 [794.000-808.750],bytes
Flow duration,flow_duration_median_s,10,0.082500100135,0.08102583885,0.089330255985,0.008304417134999992,0.083 [0.081-0.089],s
TCP flow share,tcp_share_pct,10,64.74582597,56.92404478,67.47462192249999,10.55057714249999,64.746 [56.924-67.475],%
UDP flow share,udp_share_pct,10,35.0985204,32.360467889999995,42.8348189925,10.474351102500002,35.099 [32.360-42.835],%
DNS flow share,dns_share_pct,10,56.48886833,55.215985312499996,58.383062515,3.1670772025000034,56.489 [55.216-58.383],%
Port-443 flow share,https_share_pct,10,41.644735935,40.0899912625,42.768641245,2.678649982499998,41.645 [40.090-42.769],%
Packet size,packet_size_median_bytes,10,801.5,290.75,1045.75,755.0,801.500 [290.750-1045.750],bytes
Packet-size p95,packet_size_p95_bytes,10,1466.0,1466.0,1466.0,0.0,1466.000 [1466.000-1466.000],bytes
Inter-arrival time,iat_median_ms,10,0.038504600525,0.0267624855025,0.043809413907500004,0.017046928405000005,0.039 [0.027-0.044],ms
Inter-arrival-time p95,iat_p95_ms,10,18.280196189999998,17.114138605,20.17451525,3.060376644999998,18.280 [17.114-20.175],ms
Destination entropy,destination_entropy_bits,10,4.132189559,4.1104247715,4.265407377,0.15498260549999987,4.132 [4.110-4.265],bits
Remote-port entropy,port_entropy_bits,10,1.114821038,1.0795339347500001,1.13596501775,0.05643108299999988,1.115 [1.080-1.136],bits
